Line,production day,shift,from,till,Code,Stof-Snelheid-Profiel,IO parts,NIO parts
103,3/1/2022,night,1/03/22 21:55,2/03/22 5:55,3007,FX-20m-37.xxx,9278,821
103,3/2/2022,early,2/03/22 5:55,2/03/22 6:55,3007,FX-20m-37.xxx,1216,58
103,3/2/2022,early,2/03/22 6:55,2/03/22 10:18,3006,FX-16m-37.xxx,2364,711
103,3/2/2022,early,2/03/22 10:18,2/03/22 13:55,3005,FX-16m-37.xxx,1362,1291
103,3/2/2022,late,2/03/22 13:55,2/03/22 18:34,3005,FX-16m-37.xxx,2083,769
103,3/2/2022,late,2/03/22 18:34,2/03/22 21:55,3004,FX-14m-18.xx,1289,1350
103,3/2/2022,night,2/03/22 21:55,3/03/22 5:55,3004,FX-14m-18.xx,5818,1434
103,3/3/2022,early,3/03/22 5:55,3/03/22 11:29,3004,FX-14m-18.xx,3935,1112
103,3/3/2022,early,3/03/22 11:29,3/03/22 13:55,3053,NU-20m-80.xx,0,1349
103,3/3/2022,late,3/03/22 13:55,3/03/22 21:55,3053,NU-20m-80.xx,8951,1176
103,3/3/2022,night,3/03/22 21:55,4/03/22 5:55,3053,NU-20m-80.xx,9441,687
103,3/4/2022,early,4/03/22 5:55,4/03/22 13:55,3053,NU-20m-80.xx,8198,1120
103,3/4/2022,late,4/03/22 13:55,4/03/22 21:55,3053,NU-20m-80.xx,9238,891
103,3/4/2022,night,4/03/22 21:55,5/03/22 5:55,3053,NU-20m-80.xx,9577,552
103,3/5/2022,early,5/03/22 5:55,5/03/22 12:14,3053,NU-20m-80.xx,6843,1165
103,3/5/2022,early,5/03/22 12:14,5/03/22 13:55,3003,FX-14m-37.xxx,0,0
103,3/6/2022,night,6/03/22 21:55,7/03/22 5:55,3004,FX-14m-18.xx,5359,1604
103,3/7/2022,early,7/03/22 5:55,7/03/22 13:55,3004,FX-14m-18.xx,6276,988
103,3/7/2022,late,7/03/22 13:55,7/03/22 21:55,3004,FX-14m-18.xx,5818,1373
103,3/7/2022,night,7/03/22 21:55,7/03/22 23:18,3004,FX-14m-18.xx,1059,212
103,3/7/2022,night,7/03/22 23:18,8/03/22 5:55,3005,FX-16m-37.xxx,4855,1679
103,3/8/2022,early,8/03/22 5:55,8/03/22 13:55,3005,FX-16m-37.xxx,3767,1859
103,3/8/2022,late,8/03/22 13:55,8/03/22 21:55,3005,FX-16m-37.xxx,6011,1971
103,3/8/2022,night,8/03/22 21:55,9/03/22 5:55,3005,FX-16m-37.xxx,5327,2612
103,3/9/2022,early,9/03/22 5:55,9/03/22 13:20,3005,FX-16m-37.xxx,5256,2121
103,3/9/2022,early,9/03/22 13:20,9/03/22 13:55,3006,FX-16m-37.xxx,0,239
103,3/9/2022,late,9/03/22 13:55,9/03/22 17:16,3006,FX-16m-37.xxx,2358,1043
103,3/9/2022,late,9/03/22 17:16,9/03/22 21:55,3005,FX-16m-37.xxx,1853,970
103,3/9/2022,night,9/03/22 21:55,10/03/22 5:55,3005,FX-16m-37.xxx,6362,1759
